stage,task,width,load,seed,family,d,steps,baseline_accuracy,smat_accuracy,gap_pp,query_blind_oracle_accuracy,baseline_parameters,smat_parameters,baseline_binding_gap_pp,smat_binding_gap_pp
compact1000,state,32,4,123,gdn,3,1000,0.89111328125,0.061767578125,-82.9345703125,0.334228515625,20200,27640,,
compact1000,state,32,4,123,mamba2,3,1000,0.067138671875,0.057861328125,-0.927734375,0.334228515625,24856,35392,,
compact1000,state,32,8,123,gdn,3,1000,0.360595703125,0.06005859375,-30.0537109375,0.257080078125,20200,27640,,
compact1000,state,32,8,123,mamba2,3,1000,0.082763671875,0.061767578125,-2.099609375,0.257080078125,24856,35392,,
compact1000,variable,32,2,123,gdn,3,1000,0.1689453125,0.11328125,-5.56640625,0.5498046875,28392,35832,,
compact1000,variable,32,2,123,mamba2,3,1000,0.4443359375,0.0751953125,-36.9140625,0.5498046875,33048,43584,,
compact1000,variable,32,4,123,gdn,3,1000,0.0634765625,0.064453125,0.09765625,0.3515625,28392,35832,,
compact1000,variable,32,4,123,mamba2,3,1000,0.0634765625,0.0634765625,0.0,0.3515625,33048,43584,,
main500,state,64,128,123,gdn,2,500,0.0631103515625,0.06451416015625,0.140380859375,0.102783203125,39592,50708,0.04882812500000058,0.3479003906250005
main500,state,64,128,123,gdn,3,500,0.0631103515625,0.06280517578125,-0.030517578125,0.102783203125,39592,82384,0.04882812500000058,0.0895182291666672
main500,state,64,128,123,gdn,4,500,0.0631103515625,0.060791015625,-0.23193359375,0.102783203125,39592,93492,0.04882812500000058,-0.14241536458333273
main500,state,64,128,123,gdn_current,2,500,0.0606689453125,0.06011962890625,-0.054931640625,0.102783203125,39592,50708,-0.16479492187499944,-0.1688639322916661
main500,state,64,128,123,gdn_current,3,500,0.0606689453125,0.0670166015625,0.634765625,0.102783203125,39592,82384,-0.16479492187499944,0.4394531250000005
main500,state,64,128,123,gdn_current,4,500,0.0606689453125,0.06195068359375,0.128173828125,0.102783203125,39592,93492,-0.16479492187499944,0.02034505208333387
main500,state,64,128,123,mamba2,2,500,0.06134033203125,0.06201171875,0.067138671875,0.102783203125,74480,101552,-0.04882812499999946,-0.0528971354166661
main500,state,64,128,123,mamba2,3,500,0.06134033203125,0.06134033203125,0.0,0.102783203125,74480,228256,-0.04882812499999946,-0.07527669270833279
main500,state,64,128,123,mamba2,4,500,0.06134033203125,0.0618896484375,0.054931640625,0.102783203125,74480,272688,-0.04882812499999946,0.010172526041667225
main500,state,64,16,123,gdn,2,500,0.08184814453125,0.06195068359375,-1.98974609375,0.19189453125,39592,48108,0.15665690104166743,-0.20548502604166607
main500,state,64,16,123,gdn,3,500,0.08184814453125,0.06207275390625,-1.9775390625,0.19189453125,39592,61600,0.15665690104166743,-0.18107096354166613
main500,state,64,16,123,gdn,4,500,0.08184814453125,0.06378173828125,-1.806640625,0.19189453125,39592,93492,0.15665690104166743,0.018310546875000548
main500,state,64,16,123,gdn_current,2,500,0.06829833984375,0.0655517578125,-0.274658203125,0.19189453125,39592,48108,-0.014241536458332746,0.2115885416666672
main500,state,64,16,123,gdn_current,3,500,0.06829833984375,0.06317138671875,-0.5126953125,0.19189453125,39592,61600,-0.014241536458332746,-0.11596679687499947
main500,state,64,16,123,gdn_current,4,500,0.06829833984375,0.06463623046875,-0.3662109375,0.19189453125,39592,93492,-0.014241536458332746,0.1708984375000006
main500,state,64,16,123,mamba2,2,500,0.0634765625,0.06085205078125,-0.262451171875,0.19189453125,74480,91152,0.08544921875000057,-0.20548502604166607
main500,state,64,16,123,mamba2,3,500,0.0634765625,0.06256103515625,-0.091552734375,0.19189453125,74480,145120,0.08544921875000057,0.03458658854166721
main500,state,64,16,123,mamba2,4,500,0.0634765625,0.06396484375,0.048828125,0.19189453125,74480,272688,0.08544921875000057,0.059000651041667226
main500,state,64,32,123,gdn,2,500,0.0614013671875,0.06256103515625,0.115966796875,0.14947509765625,39592,48108,-0.004069010416666127,0.13427734375000056
main500,state,64,32,123,gdn,3,500,0.0614013671875,0.06201171875,0.06103515625,0.14947509765625,39592,61600,-0.004069010416666127,0.09562174479166721
main500,state,64,32,123,gdn,4,500,0.0614013671875,0.0609130859375,-0.048828125,0.14947509765625,39592,93492,-0.004069010416666127,-0.1302083333333328
main500,state,64,32,123,gdn_current,2,500,0.0625,0.06268310546875,0.018310546875,0.14947509765625,39592,48108,-0.0020345052083327623,0.12207031250000054
main500,state,64,32,123,gdn_current,3,500,0.0625,0.06146240234375,-0.103759765625,0.14947509765625,39592,61600,-0.0020345052083327623,0.006103515625000531
main500,state,64,32,123,gdn_current,4,500,0.0625,0.080810546875,1.8310546875,0.14947509765625,39592,93492,-0.0020345052083327623,0.404866536458334
main500,state,64,32,123,mamba2,2,500,0.06085205078125,0.060302734375,-0.054931640625,0.14947509765625,74480,91152,-0.050862630208332774,-0.05900065104166611
main500,state,64,32,123,mamba2,3,500,0.06085205078125,0.0611572265625,0.030517578125,0.14947509765625,74480,145120,-0.050862630208332774,0.010172526041667225
main500,state,64,32,123,mamba2,4,500,0.06085205078125,0.0609130859375,0.006103515625,0.14947509765625,74480,272688,-0.050862630208332774,0.10172526041666721
main500,state,64,4,123,gdn,2,500,0.69873046875,0.17694091796875,-52.178955078125,0.3360595703125,39592,46548,61.07584635416667,6.168619791666668
main500,state,64,4,123,gdn,3,500,0.69873046875,0.09698486328125,-60.174560546875,0.3360595703125,39592,54328,61.07584635416667,0.04272460937500093
main500,state,64,4,123,gdn,4,500,0.69873046875,0.06207275390625,-63.665771484375,0.3360595703125,39592,58724,61.07584635416667,0.048828125000000576
main500,state,64,4,123,gdn_current,2,500,0.4598388671875,0.826171875,36.63330078125,0.3360595703125,39592,46548,36.59464518229167,72.55452473958334
main500,state,64,4,123,gdn_current,3,500,0.4598388671875,0.83587646484375,37.603759765625,0.3360595703125,39592,54328,36.59464518229167,74.090576171875
main500,state,64,4,123,gdn_current,4,500,0.4598388671875,0.85443115234375,39.459228515625,0.3360595703125,39592,58724,36.59464518229167,76.63981119791667
main500,state,64,4,123,mamba2,2,500,0.1795654296875,0.095703125,-8.38623046875,0.3360595703125,74480,84912,0.012207031250001485,-0.08951822916666578
main500,state,64,4,123,mamba2,3,500,0.1795654296875,0.0806884765625,-9.8876953125,0.3360595703125,74480,116032,0.012207031250001485,-0.18310546874999925
main500,state,64,4,123,mamba2,4,500,0.1795654296875,0.17791748046875,-0.164794921875,0.3360595703125,74480,133616,0.012207031250001485,0.3763834635416682
main500,state,64,64,123,gdn,2,500,0.0635986328125,0.06280517578125,-0.079345703125,0.12017822265625,39592,49148,-0.030517578124999424,-0.03458658854166609
main500,state,64,64,123,gdn,3,500,0.0635986328125,0.06494140625,0.13427734375,0.12017822265625,39592,61600,-0.030517578124999424,0.15462239583333387
main500,state,64,64,123,gdn,4,500,0.0635986328125,0.0626220703125,-0.09765625,0.12017822265625,39592,93492,-0.030517578124999424,-0.12613932291666613
main500,state,64,64,123,gdn_current,2,500,0.064453125,0.06182861328125,-0.262451171875,0.12017822265625,39592,49148,0.09358723958333393,-0.1749674479166661
main500,state,64,64,123,gdn_current,3,500,0.064453125,0.06463623046875,0.018310546875,0.12017822265625,39592,61600,0.09358723958333393,0.0732421875000006
main500,state,64,64,123,gdn_current,4,500,0.064453125,0.06524658203125,0.079345703125,0.12017822265625,39592,93492,0.09358723958333393,-0.03662109374999942
main500,state,64,64,123,mamba2,2,500,0.06427001953125,0.0645751953125,0.030517578125,0.12017822265625,74480,95312,0.06510416666666721,0.018310546875000562
main500,state,64,64,123,mamba2,3,500,0.06427001953125,0.06427001953125,0.0,0.12017822265625,74480,145120,0.06510416666666721,0.07324218750000054
main500,state,64,64,123,mamba2,4,500,0.06427001953125,0.06304931640625,-0.1220703125,0.12017822265625,74480,272688,0.06510416666666721,0.09155273437500054
