3170054|syn-state-main500|ghx4-interactive|COMPLETED|00:11:20|billing=4000,cpu=8,gres/gpu=2,mem=160G,node=1
3170054.batch|batch||COMPLETED|00:11:20|cpu=8,gres/gpu=2,mem=160G,node=1
3170054.extern|extern||COMPLETED|00:11:20|billing=4000,cpu=8,gres/gpu=2,mem=160G,node=1
3170210|syn-current-main-state|ghx4-interactive|COMPLETED|00:07:44|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
3170210.batch|batch||COMPLETED|00:07:44|cpu=8,gres/gpu=2,mem=64G,node=1
3170210.extern|extern||COMPLETED|00:07:44|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
3170230|syn-main-variable|ghx4-interactive|COMPLETED|00:15:39|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
3170230.batch|batch||COMPLETED|00:15:39|cpu=8,gres/gpu=2,mem=64G,node=1
3170230.extern|extern||COMPLETED|00:15:40|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
3170450|synthetic-confirm|ghx4-interactive|COMPLETED|00:20:44|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
3170450.batch|batch||COMPLETED|00:20:44|cpu=8,gres/gpu=2,mem=64G,node=1
3170450.extern|extern||COMPLETED|00:20:44|billing=4000,cpu=8,gres/gpu=2,mem=64G,node=1
