accuracy,batch,binding_gap_pp,chance,complete,context_binding_gap_pp,context_only_oracle_accuracy,contexts,d,data_protocol,elapsed_seconds,encoding,eval_every,eval_examples,eval_loss,exact_accuracy,family,head_dim,hops,id_count,key_only_oracle_accuracy,layers,load,lr,metric,min_length,optimizer,out,parameters,query_blind_oracle_accuracy,scheduler,seed,sequence_length,shared,shared_query_count,state_dim,steps,task,test_examples,test_sha256,trainable_parameters,updates,validation_sha256,values,weight_decay,width,wrong_context_accuracy
0.9818115234375,32,91.583251953125,0.0625,True,,0.5318603515625,2,1,fresh independent per step; independent validation and final test,10.52404948999174,shuffled explicit-context triples,100,1024,0.0656620399095118,0.930419921875,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d1-s123,28328,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,28328,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.8909912109375,32,80.65592447916667,0.0625,True,,0.5318603515625,2,2,fresh independent per step; independent validation and final test,25.845263591967523,shuffled explicit-context triples,100,1024,0.37853959016501904,0.64990234375,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d2-s123,35284,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,31188,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.1683349609375,32,-0.09358723958333148,0.0625,True,,0.5318603515625,2,3,fresh independent per step; independent validation and final test,26.888822497916408,shuffled explicit-context triples,100,1024,2.384198486804962,0.0,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d3-s123,43064,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,37432,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.96337890625,32,89.05232747395834,0.0625,True,,0.5318603515625,2,4,fresh independent per step; independent validation and final test,28.72921653999947,shuffled explicit-context triples,100,1024,0.12493402606924064,0.86767578125,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d4-s123,47460,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,40036,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.27374267578125,32,0.13427734375,0.0625,True,,0.5318603515625,2,1,fresh independent per step; independent validation and final test,23.22256043899688,shuffled explicit-context triples,100,1024,1.9460903089493513,0.000244140625,mamba2,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-mamba2-d1-s123,63216,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,63216,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.77984619140625,32,64.53043619791667,0.0625,True,,0.5318603515625,2,2,fresh independent per step; independent validation and final test,35.99360013799742,shuffled explicit-context triples,100,1024,0.6081359004601836,0.365234375,mamba2,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-mamba2-d2-s123,73648,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,73648,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.39434814453125,32,23.53515625,0.0625,True,,0.5318603515625,2,3,fresh independent per step; independent validation and final test,20.032551684067585,shuffled explicit-context triples,100,1024,1.8221021573990583,0.00537109375,mamba2,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-mamba2-d3-s123,104768,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,98624,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.458984375,32,32.253011067708336,0.0625,True,,0.5318603515625,2,4,fresh independent per step; independent validation and final test,21.303152650012635,shuffled explicit-context triples,100,1024,1.6477233730256557,0.02685546875,mamba2,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-mamba2-d4-s123,122352,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,109040,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.91021728515625,32,81.878662109375,0.0625,True,81.21337890625,0.5318603515625,2,1,fresh independent per step; independent validation and final test,10.450970629986841,shuffled explicit-context triples,100,1024,0.2769010735210031,0.721435546875,gdn_current,16,0,80,0.52862548828125,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share1-t64-gdn_current-d1-s123,28328,0.33673095703125,cosine to zero,123,64,1.0,16384,16,500,context,4096,d6988d839d4fcf8d474a658dbc82033760d2b65a06e5f2299f1826431338b423,28328,1,5d4b5f573f2df0c9af517246d4b77c933751a3b824d23597a9e7063aa3d30860,16,0.1,64,0.09808349609375
0.34893798828125,32,20.707194010416668,0.0625,True,19.219970703125,0.5318603515625,2,2,fresh independent per step; independent validation and final test,25.332178279059008,shuffled explicit-context triples,100,1024,1.8156618159264326,0.01220703125,gdn_current,16,0,80,0.52862548828125,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share1-t64-gdn_current-d2-s123,35284,0.33673095703125,cosine to zero,123,64,1.0,16384,16,500,context,4096,d6988d839d4fcf8d474a658dbc82033760d2b65a06e5f2299f1826431338b423,31188,1,5d4b5f573f2df0c9af517246d4b77c933751a3b824d23597a9e7063aa3d30860,16,0.1,64,0.15673828125
